Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.04648,0.060332,0.047859,0,0,0,0.24153,0.00030589,3.981E-07,3.2058E-06,0.00038626,9.7199E-08,0.00038359,0,0,0,0,0,0,package://final_collision_export/meshes/base_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://final_collision_export/meshes/base_link.STL,,060000-1/060002-2;060000-1/060001-1;030000-2/030001b-2;030000-2/030003-1;060000-1/060003b-1,Frame 0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
pitch_link,6.0777E-11,-0.0063557,-1.3583E-09,0,0,0,0.0054988,1.9103E-07,-1.6034E-14,-7.2936E-12,8.75E-07,-2.6183E-15,9.7567E-07,0,0,0,0,0,0,package://final_collision_export/meshes/pitch_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://final_collision_export/meshes/pitch_link.STL,,010000-2/010011-1;010000-2/010011-2,Frame 1,Axis4,Pitch,revolute,0.096806,0.060005,0.15025,-1.5708,0,1.5708,base_link,0,0,-1,0,0,0,0,,,,,,,,
yaw_link,-3.999E-05,-8.3267E-17,0.063923,0,0,0,0.013171,4.8033E-07,5.5554E-11,-8.1339E-21,4.521E-07,5.6248E-23,3.2054E-07,0,0,0,0,0,0,package://final_collision_export/meshes/yaw_link.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://final_collision_export/meshes/yaw_link.STL,,010000-2/010014-1,Frame 2,Axis5,Yaw,revolute,0,0.050079,3.999E-05,1.5708,-1.5708,0,pitch_link,0,0,-1,0,0,0,0,,,,,,,,
extension_link,3.0839E-06,0.041649,-0.11557,0,0,0,0.10725,0.0001763,-3.429E-08,4.6793E-08,0.00014108,2.1234E-05,4.1594E-05,0,0,0,0,0,0,package://final_collision_export/meshes/extension_link.STL,0.49804,0.49804,0.49804,1,0,0,0,0,0,0,package://final_collision_export/meshes/extension_link.STL,,022000-1/051000-1/051003-1;022000-1/051000-1/desoutter_collision-1;022000-1/051000-1/051002-1,Frame 3,Axis6,Extension,prismatic,0,-0.13608,0,1.5708,0,0,yaw_link,0,0,1,0,0,0,0,,,,,,,,
