p,q,force,dev
0.175011528291,0.0251742818977,0.320960607877,0.000174435189969
0.175007992157,0.0253038170469,0.559687228564,0.000304178170955
0.175038787766,0.0251469437502,0.271342354883,0.000147468864182
0.175038787766,0.0251469437502,0.271342354883,0.000147468864182
0.175033489115,0.0251678545486,0.3096317988,0.000168278332222
0.175031997505,0.0252121609814,0.391271014406,0.000212647563128
0.175040324419,0.0252620427847,0.48371108027,0.000262887048238
0.175053346677,0.0252755038177,0.50930045567,0.000276794658582
0.175073481278,0.0252462044286,0.456503193425,0.000248100732456
0.175073481278,0.0252462044286,0.456503193425,0.000248100732456
0.175085600844,0.0252752173577,0.511205192886,0.000277830720473
0.175092513313,0.0253089018872,0.574196497802,0.000312065793215
0.175100895643,0.0252794232869,0.52027328206,0.000282759526452
0.175107919379,0.0252334960692,0.435692773737,0.000236791389715
0.175099086252,0.0252574082395,0.478894301052,0.000260270411129
0.175099086252,0.0252574082395,0.478894301052,0.000260270411129
0.175100394221,0.0252980872845,0.554289925241,0.000301246826507
0.175099042135,0.0253220500605,0.598392107672,0.000325215608076
0.175111940815,0.025275283424,0.512898201851,0.000278751283245
0.175114597049,0.025261780588,0.487937163453,0.000265185310664
0.17511383853,0.0253028017594,0.563764356611,0.000306396247215
0.17511383853,0.0253028017594,0.563764356611,0.000306396247215
0.175128040529,0.0253007463528,0.561482765222,0.000305156794749
0.175144393311,0.0252890767315,0.54178713227,0.000294453147961
0.175159303132,0.0252851047768,0.536370698101,0.000291510053299
0.175172120682,0.0252994410274,0.564859617158,0.000306994202122
0.175188534991,0.0252798768784,0.530986827421,0.000288585445304
0.175188534991,0.0252798768784,0.530986827421,0.000288585445304
0.175202551462,0.0252807363289,0.534906272648,0.000290716434106
0.175207930007,0.0252771292993,0.528817536996,0.00028740740268
0.175213056221,0.0252660592026,0.508772972333,0.000276513403011
0.175216361818,0.0252631222264,0.503496638255,0.00027364574734
0.175267209148,0.0252745782102,0.526035387473,0.000285894679275
0.175267209148,0.0252745782102,0.526035387473,0.000285894679275
0.175335693262,0.0252633711338,0.507680501491,0.00027591782609
0.175434491422,0.0252504783339,0.487792241246,0.000265106592929
0.175543628442,0.0252666615683,0.522567470961,0.000284002824728
0.175664965798,0.0252746040494,0.543330622992,0.000295281753468
0.175779147192,0.0252451886218,0.49571539998,0.000269398782133
0.175779147192,0.0252451886218,0.49571539998,0.000269398782133
0.175905872425,0.0252581290812,0.528050655892,0.000286963771836
0.176032327302,0.0252703546623,0.559729543548,0.000304169633259
0.176151239059,0.0252381552356,0.510270849284,0.00027728315877
0.17626549685,0.0252083789384,0.465722341848,0.000253066000927
0.176384213195,0.025244943272,0.544393694626,0.000295802600466
0.176384213195,0.025244943272,0.544393694626,0.000295802600466
0.17649675496,0.0252185905422,0.507637854208,0.000275818842672
0.176608837007,0.0251849037735,0.458508368273,0.000249113273306
0.176734058321,0.0252072303993,0.515067593477,0.000279827405326
0.176895094909,0.0252287579955,0.57647981575,0.000313168005366
0.17707074464,0.0251699276114,0.494807388866,0.000268775221556
0.17707074464,0.0251699276114,0.494807388866,0.000268775221556
0.17728456426,0.0251715660246,0.533368573133,0.000289686593401
0.177512043486,0.0251817903172,0.593188234202,0.00032213101893
0.177754595367,0.0251248636262,0.536680359147,0.000291395088942
0.177984626453,0.0250606836029,0.467984419081,0.00025405100528
0.178226770329,0.0250893581797,0.576306840174,0.000312795166686
0.178226770329,0.0250893581797,0.576306840174,0.000312795166686
0.178442709576,0.0250322147166,0.524152816913,0.000284432900654
0.178653564924,0.024967651306,0.460773401115,0.00024998910582
0.178875497299,0.0249812800779,0.546820488583,0.000296609784451
0.179091510107,0.0249945533934,0.633568269901,0.000343588611659
0.179271306793,0.024880648832,0.480622727865,0.000260589233576
0.179271306793,0.024880648832,0.480622727865,0.000260589233576
0.179476816078,0.0249022945418,0.585979164482,0.000317640879034
0.179680625908,0.0249261714516,0.69706740547,0.000377770384457
0.179842682561,0.0247951904204,0.515579653816,0.0002793511431
0.180004233529,0.0246799663768,0.365971782677,0.000198245087717
0.180224418606,0.0247625461061,0.598652839291,0.000324202386806
0.180224418606,0.0247625461061,0.598652839291,0.000324202386806
0.180396199339,0.0247082572541,0.568032581343,0.000307544988256
0.180549237013,0.0246254870992,0.480876289308,0.000260295790538
0.180708885153,0.0246168713815,0.530280273446,0.000286972028785
0.180880505947,0.0246478583803,0.658141630127,0.00035608204408
0.181017523457,0.0245272372949,0.502906330596,0.000272027535037
0.181017523457,0.0245272372949,0.502906330596,0.000272027535037
0.181170080202,0.0245085292169,0.538459448055,0.00029119002112
0.181325014679,0.024503251577,0.599342138124,0.000324036088961
0.181474433987,0.0244369322954,0.553468232698,0.000299157438043
0.181605229733,0.0243389149383,0.444207062316,0.000240041190422
0.181768258567,0.0243392422877,0.528063738487,0.00028528148812
0.181768258567,0.0243392422877,0.528063738487,0.00028528148812
0.181908618647,0.0242861890089,0.505741119935,0.000273152287027
0.182037860762,0.0241930630224,0.405637555156,0.000219027950012
0.182184084695,0.0241576210255,0.419696218819,0.000226558126388
0.182352479018,0.0241821396683,0.55387198293,0.000298904339917
0.18247306442,0.0240549865651,0.393719940209,0.000212415702915
0.18247306442,0.0240549865651,0.393719940209,0.000212415702915
0.182629967503,0.0240388928167,0.454300232775,0.000245028516582
0.182787745206,0.0239822223336,0.44496571629,0.000239917073409
0.182918001854,0.0238519667235,0.290287336648,0.000156466812428
0.183077602986,0.0237513975707,0.207723243619,0.000111923121978
0.183307084766,0.0237935379883,0.423949248296,0.000228334429188
