p,q,pitch_eff,yaw_eff,ext_eff,dev
0.172528492403,-0.0249424242294,0.0584503260927,-0.000663763329245,-0.00969399802184,0.000260510577398
0.172571576719,-0.0246530996615,0.122249226263,-0.00131885362193,-0.023925824774,0.000544185827752
0.172565156363,-0.0247064095517,0.110367283413,-0.00105432489445,-0.0210404522028,0.000491384957598
0.172552823612,-0.0248002792048,0.0895805450173,-0.000804428228103,-0.0162515976055,0.000398981975229
0.172557123719,-0.0247753813687,0.0950715026448,-0.000868402053486,-0.0175076415454,0.000423389760248
0.172566185871,-0.0247147805446,0.108468659648,-0.00102634046121,-0.0206527100867,0.000482930023966
0.172563945046,-0.0247362664767,0.103692435173,-0.000957874568632,-0.0195412360548,0.000461698484041
0.172561079678,-0.0247620634932,0.0979619435293,-0.000876781568647,-0.0182270732323,0.000436222236949
0.172561554764,-0.0247636420031,0.0975945561518,-0.00086468790565,-0.0181617354009,0.000434583632311
0.1725623707,-0.024764239685,0.0974505216807,-0.000874211214211,-0.0181533303222,0.000433937228833
0.172563065006,-0.0247655703058,0.0971376644672,-0.000868942517209,-0.0181055048708,0.000432540001962
0.172563762909,-0.0247667568324,0.0968566472329,-0.000863368047244,-0.0180644979031,0.000431284391051
0.172564196461,-0.0247693903716,0.0962537898551,-0.000848825528359,-0.0179476376088,0.000428598451987
0.172567532608,-0.0247502729491,0.1004653837,-0.000886843683532,-0.0189440291473,0.000447312063269
0.172565912574,-0.0247692964347,0.0962410157915,-0.000849336720149,-0.0179911810549,0.000428529231587
0.172566224699,-0.0247734435639,0.0953041379913,-0.000835937294002,-0.0177996034345,0.000424358250305
0.17256764501,-0.0247676297253,0.0965784439559,-0.000850377926379,-0.0181101475666,0.000430017874051
0.172571912129,-0.0247427943695,0.102055718722,-0.000907363366241,-0.0194138627019,0.00045435402802
0.172568855193,-0.02477266528,0.0954300167176,-0.000844387527096,-0.0178967786499,0.000424899765065
0.172572781364,-0.0247491097453,0.100620886306,-0.000886185352288,-0.0191254334091,0.000447964170738
0.172574854028,-0.0247398827577,0.102648988933,-0.000911938127077,-0.0196279934556,0.000456970531181
0.172578644642,-0.0247190161858,0.107250790048,-0.000964741804546,-0.0207578162426,0.000477409889604
0.172583404963,-0.0246888460832,0.11392163731,-0.00104539348915,-0.0224096839249,0.000507038632266
0.172580328898,-0.0247167199507,0.107729977663,-0.000965299621404,-0.020915452865,0.000479527413084
0.172584541726,-0.0246930667646,0.112942239105,-0.00101049072193,-0.0222223088597,0.000502672536962
0.1725853126,-0.0246945202619,0.112602192986,-0.00100812234785,-0.0221690792147,0.000501153973266
0.17258752872,-0.0246846057807,0.114785608328,-0.00104166913241,-0.0227388144955,0.000510844734603
0.172590566816,-0.0246672511787,0.118602576324,-0.00105348014573,-0.0237196394466,0.000527788666102
0.17259056635,-0.0246740448865,0.117077258118,-0.00103095973072,-0.0233655098732,0.000521006550191
0.172591196466,-0.0246792148918,0.115917052579,-0.0010416428588,-0.0231174235919,0.00051584354243
0.172598069796,-0.0246355649411,0.125574694568,-0.00116024625724,-0.0256161843133,0.000558717482033
0.172606279062,-0.0245814009011,0.137563250098,-0.00129434108013,-0.0288256537138,0.000611920258454
0.172614483483,-0.0245273056822,0.149537973287,-0.00141810409693,-0.0321615126469,0.000665037901761
0.172615599638,-0.024525543148,0.149895676505,-0.00137658372042,-0.0322991004117,0.000666612535935
0.172623768579,-0.0244708441808,0.162015052584,-0.0015044775864,-0.0358074676014,0.000720348735905
0.172629809037,-0.0244347416905,0.170004236951,-0.00158422502368,-0.0382223616111,0.000755751056888
0.172631312275,-0.0244326831384,0.170437069641,-0.00158229679662,-0.0384099415347,0.000757653791277
0.172635202347,-0.024409223655,0.175614357205,-0.00158088040603,-0.040008949757,0.00078058719323
0.172633637957,-0.0244264533375,0.171762703809,-0.00149912552216,-0.0388794935591,0.000763505887105
0.17263746522,-0.0244047496919,0.176557205619,-0.00152063042305,-0.0403779445636,0.000784740522325
0.172635460705,-0.0244272067207,0.171547618016,-0.00145225086141,-0.0389066349724,0.000762526172362
0.172636028716,-0.0244293905331,0.171039514359,-0.00142047379889,-0.0387946196442,0.000760262224977
0.172639857406,-0.0244061266587,0.176190680991,-0.00146486626991,-0.0403922288382,0.000783080509417
0.172637187998,-0.0244335672588,0.170079607189,-0.0014046036468,-0.0385871001648,0.000755985992149
0.172639161969,-0.0244238634308,0.172217100178,-0.00140799279267,-0.0392643998429,0.00076544968101
0.172642578008,-0.0244051134268,0.176362602713,-0.00144064553778,-0.0405713292447,0.000783807626755
0.17264176079,-0.0244170516385,0.173697217992,-0.00141362150141,-0.0397948575468,0.000771986868847
0.172642047058,-0.0244211386478,0.172768883184,-0.00138347228335,-0.039552605458,0.000767861519382
0.17264216735,-0.0244270851372,0.171434006258,-0.00137745904476,-0.0391911729725,0.000761934764191
0.172643121474,-0.0244262325842,0.171610481493,-0.00138659165765,-0.0392846337707,0.000762706483354
0.172647129596,-0.0244017180314,0.177042386855,-0.00144032560284,-0.0409809698577,0.000786765897143
0.172645382002,-0.0244215022186,0.172630160301,-0.00138974867928,-0.0396724483703,0.000767204055995
0.17265033283,-0.0243894914757,0.179730740867,-0.00146655029882,-0.0418905676461,0.000798655596523
0.172653228646,-0.0243744274285,0.183065356231,-0.00151129332799,-0.0429764465061,0.000813416108037
0.172656385374,-0.0243570804166,0.186903822773,-0.00154330796325,-0.0442308101784,0.000830405976006
0.172657168796,-0.0243568288447,0.186941357002,-0.00152355922464,-0.0442815694838,0.000830561106489
