x,y,z,fx,fy,fz,time,dist
0.169242810194,0.00335450660051,-0.0518330441086,0.0,0.0,0.0,0.618,0
0.169242810194,0.00335450660051,-0.0518330441086,0.0,0.0,0.0,0.635,0
0.169083776955,0.0034105244383,-0.0523528751263,0.0,0.0,0.0,0.65,0
0.168934555359,0.00346717109079,-0.0528357775323,0.0,0.0,0.0,0.668,0
0.168790744022,0.00352387071517,-0.0532967946798,0.0,0.0,0.0,0.684,0
0.168659277883,0.003579354977,-0.053714652232,0.0,0.0,0.0,0.701,0
0.168544226607,0.00363470457111,-0.0540781198155,0.0,0.0,0.0,0.717,0
0.168544226607,0.00363470457111,-0.0540781198155,0.0,0.0,0.0,0.734,0
0.168443366762,0.00368825937216,-0.0543946838062,0.0,0.0,0.0,0.75,0
0.168348121612,0.00369900587465,-0.054692348568,0.0,0.0,0.0,0.767,0
0.168261922657,0.00371540569215,-0.0549605898992,0.0,0.0,0.0,0.784,0
0.168190006331,0.00373904637783,-0.0551834378107,0.0,0.0,0.0,0.8,0
0.168128789014,0.00377129032499,-0.055372594232,0.0,0.0,0.0,0.818,0
0.168128789014,0.00377129032499,-0.055372594232,0.0,0.0,0.0,0.835,0
0.168072592318,0.00380711753806,-0.0555455780735,0.0,0.0,0.0,0.85,0
0.168025831229,0.00384990471786,-0.0556893514994,0.0,0.0,0.0,0.868,0
0.167980948006,0.00389377074315,-0.0558270158319,0.0,0.0,0.0,0.885,0
0.167941071668,0.00394053834386,-0.0559492266273,0.0,0.0,0.0,0.901,0
0.167902666953,0.00398805681057,-0.0560666980422,0.0,0.0,0.0,0.917,0
0.167902666953,0.00398805681057,-0.0560666980422,0.0,0.0,0.0,0.934,0
0.167865313295,0.00403593916197,-0.0561806740943,0.0,0.0,0.0,0.95,0
0.167827971038,0.00408397420004,-0.056294302546,0.0,0.0,0.0,0.967,0
0.167790584221,0.00413224680142,-0.0564077542812,0.0,0.0,0.0,0.985,0
0.167753051293,0.00418449083861,-0.0565210115041,0.0,0.0,0.0,1.001,0
0.16771530746,0.00424228849873,-0.0566341661408,0.0,0.0,0.0,1.018,0
0.16771530746,0.00424228849873,-0.0566341661408,0.0,0.0,0.0,1.034,0
0.167678606815,0.00429780612645,-0.0567441609976,0.0,0.0,0.0,1.051,0
0.167645750768,0.0043520944201,-0.0568424273557,0.0,0.0,0.0,1.067,0
0.167617564029,0.00440242605706,-0.0569269944154,0.0,0.0,0.0,1.085,0
0.167599439742,0.00448637193457,-0.0569790014774,0.0,0.0,0.0,1.1,0
0.167591067982,0.00460164692711,-0.0569991126486,0.0,0.0,0.0,1.117,0
0.167591067982,0.00460164692711,-0.0569991126486,0.0,0.0,0.0,1.134,0
0.167592857701,0.00478440620875,-0.0569831725795,0.0,0.0,0.0,1.151,0
0.167600689792,0.00498049818705,-0.0569473194884,0.0,0.0,0.0,1.167,0
0.167607769386,0.00520126930379,-0.0569107540156,0.0,0.0,0.0,1.185,0
0.167614308717,0.00542801262667,-0.0568743253007,0.0,0.0,0.0,1.201,0
0.16762013991,0.0056676520721,-0.0568377771062,0.0,0.0,0.0,1.218,0
0.16762013991,0.0056676520721,-0.0568377771062,0.0,0.0,0.0,1.234,0
0.167625553951,0.00590971221221,-0.0568011757331,0.0,0.0,0.0,1.251,0
0.167630532465,0.00615475914303,-0.0567644804415,0.0,0.0,0.0,1.267,0
0.167635151249,0.00639985386885,-0.0567277627934,0.0,0.0,0.0,1.284,0
0.16763941652,0.00664493820428,-0.0566910102618,0.0,0.0,0.0,1.301,0
0.167643327858,0.00689000902488,-0.0566542246784,0.0,0.0,0.0,1.318,0
0.167643327858,0.00689000902488,-0.0566542246784,0.0,0.0,0.0,1.335,0
0.167646885502,0.00713506553671,-0.0566174056019,0.0,0.0,0.0,1.351,0
0.167649671136,0.00738989212262,-0.0565805118859,0.0,0.0,0.0,1.368,0
0.167651895394,0.00764839334612,-0.0565436147026,0.0,0.0,0.0,1.384,0
0.167653423183,0.00791399516018,-0.0565065888629,0.0,0.0,0.0,1.4,0
0.167654124954,0.00818757005639,-0.0564695867599,0.0,0.0,0.0,1.417,0
0.167654124954,0.00818757005639,-0.0564695867599,0.0,0.0,0.0,1.434,0
0.167654265707,0.00846394920605,-0.0564324853228,0.0,0.0,0.0,1.451,0
0.167653897387,0.00874167880485,-0.0563953074875,0.0,0.0,0.0,1.468,0
0.167652768525,0.00902528118673,-0.0563580630037,0.0,0.0,0.0,1.484,0
0.167651162083,0.0093088514586,-0.056320795347,0.0,0.0,0.0,1.501,0
0.167649083188,0.009592387921,-0.0562834902345,0.0,0.0,0.0,1.517,0
0.167649083188,0.009592387921,-0.0562834902345,0.0,0.0,0.0,1.536,0
0.16764652996,0.00987588438485,-0.056246154793,0.0,0.0,0.0,1.551,0
0.167643530641,0.0101592997114,-0.0562087093152,0.0,0.0,0.0,1.568,0
0.167640053915,0.0104426606137,-0.0561712464379,0.0,0.0,0.0,1.584,0
0.167635853551,0.0107297080539,-0.0561337857448,0.0,0.0,0.0,1.601,0
0.167630976962,0.0110199345719,-0.0560962318441,0.0,0.0,0.0,1.618,0
0.167630976962,0.0110199345719,-0.0560962318441,0.0,0.0,0.0,1.634,0
0.167624591541,0.0113248902454,-0.0560586877641,0.0,0.0,0.0,1.65,0
0.167616297307,0.0116487744201,-0.0560212276795,0.0,0.0,0.0,1.667,0
0.167603968548,0.0120228385695,-0.0559832117711,0.0,0.0,0.0,1.685,0
0.167589091525,0.012418859157,-0.0559454214127,0.0,0.0,0.0,1.701,0
0.167571637247,0.0128381923838,-0.0559071914114,0.0,0.0,0.0,1.718,0
0.167571637247,0.0128381923838,-0.0559071914114,0.0,0.0,0.0,1.734,0
0.16755190296,0.0132726935323,-0.0558690184815,0.0,0.0,0.0,1.75,0
0.167530749128,0.013711522746,-0.0558306303302,0.0,0.0,0.0,1.767,0
0.167508069448,0.0141549703184,-0.0557921722356,0.0,0.0,0.0,1.785,0
0.167484235571,0.014598215961,-0.055753675528,0.0,0.0,0.0,1.8,0
0.167459029197,0.0150436259501,-0.0557151616024,0.0,0.0,0.0,1.817,0
