x,y,z,time
-0.107907405701,0.0293019171563,-0.080681646239,0.0
-0.107907405701,0.0293019171563,-0.080681646239,0.0
-0.102189332089,0.0291019402325,-0.075835074043,0.02
-0.0736058514256,0.0184898556313,-0.057019652871,0.04
-0.0527539919327,0.0216616927484,-0.0434884323917,0.06
-0.0440024576474,0.012892182896,-0.0265166132724,0.08
-0.0340636640232,0.0157458473031,-0.0135125075278,0.1
-0.0287386872628,0.0142380828904,-0.00861141714721,0.12
-0.0252455981841,0.0123388450164,-0.00375018555358,0.14
-0.0221750637289,0.011658247527,-0.000228584195506,0.16
-0.0188607985055,0.0109738670675,0.00260814699087,0.18
-0.0162144991884,0.0104028175665,0.00456027971384,0.2
-0.0140892775618,0.00973267691205,0.00588023016694,0.22
-0.012695490585,0.00896017094136,0.0060854486492,0.24
-0.0113362299026,0.00833402405545,0.00656528292055,0.26
-0.0103694100996,0.00773242738114,0.00637769990211,0.28
-0.00939411798897,0.00726043944957,0.00624900294805,0.3
-0.0085523769728,0.00680812274945,0.00600454749219,0.32
-0.00779766512908,0.00642362751701,0.0058159545381,0.34
-0.00717394929456,0.00599967726562,0.00551110511317,0.36
-0.00652006632493,0.005681434947,0.00533004224261,0.38
-0.00599048734333,0.00538818548377,0.00506439001991,0.4
-0.00552613485723,0.0051050962093,0.00492120097788,0.42
-0.00508509051155,0.00482008949763,0.00469705980729,0.44
-0.00471519080674,0.00460977379997,0.00458080520061,0.46
-0.00426811848936,0.00438514723996,0.0043863511007,0.48
-0.00399021028003,0.00418575708313,0.00429810563144,0.5
-0.00363522117249,0.00397205680848,0.00413144486863,0.52
-0.00335834765209,0.00378697644476,0.00404227812279,0.54
-0.00309132662329,0.00361724477694,0.00392036584182,0.56
-0.00291099365658,0.00346080335956,0.00384425989876,0.58
-0.00273978482302,0.00328784394407,0.00373551324138,0.6
-0.00246053351665,0.00316480535898,0.00366122532478,0.62
-0.00238072160601,0.00300521471233,0.00358223898776,0.64
-0.00219269422719,0.00289570735862,0.00353785924678,0.66
-0.00201873641557,0.0027859186309,0.00344446443103,0.68
-0.00193526230597,0.0026579928473,0.00338140050495,0.7
-0.00174778090911,0.00256391732084,0.00333661448,0.72
-0.00166033438597,0.00246808095987,0.00328969103038,0.74
-0.00157812007475,0.00240461621323,0.00322635785166,0.76
-0.00149103097989,0.00232481476455,0.00317930612144,0.78
-0.00139930065857,0.00224491274489,0.0031485570032,0.8
-0.00130783264479,0.00218118672298,0.00311776441613,0.82
-0.00122579726312,0.00211738035928,0.00305417711177,0.84
-0.001234371923,0.00205223369689,0.00302143863865,0.86
-0.0011430033664,0.00198830667588,0.00299053099919,0.88
-0.00105185893465,0.0019406061977,0.00295958097808,0.9
-0.00106052322263,0.00187537866289,0.00292680595299,0.92
-0.00096470628674,0.00182757779088,0.00291220191886,0.94
-0.000973602280087,0.00177862677974,0.00287940532358,0.96
-0.000882540268501,0.00173073558867,0.00284834995893,0.98
-0.000891478083029,0.00168175426341,0.00281553621563,1.0
-0.00079572786294,0.00163377277014,0.0028008439323,1.02
-0.000804863537255,0.00160109837146,0.00276800949035,1.04
-0.000809122646261,0.00155208665378,0.00275159815894,1.06
-0.000713567468387,0.00152034208405,0.0027368542872,1.08
-0.000722738625184,0.00148764746779,0.00270400291073,1.1
-0.000731922889147,0.00145495279202,0.00267115320242,1.12
-0.00063639381752,0.00142312804708,0.0026563511605,1.14
-0.000636112500307,0.00139041325697,0.00265635571824,1.16
-0.000645325740386,0.00135769841123,0.00262348828622,1.18
-0.00064519080569,0.00134134096792,0.00262349044536,1.2
-0.000554436112332,0.00130942603268,0.00259220450335,1.22
-0.000563806851883,0.00129305854994,0.0025593183704,1.24
-0.000563678380037,0.00127669105426,0.00255932037472,1.26
-0.000568179235743,0.00124395602477,0.00254288088704,1.28
-0.000572810207233,0.00122758849128,0.00252643984569,1.3
-0.000477458901116,0.00121196093877,0.00251152912854,1.32
-0.000482096207497,0.00119558338116,0.00249507894196,1.34
-0.000486736796262,0.0011792058116,0.00247862918243,1.36
-0.000491380667373,0.00116282823025,0.00246217985061,1.38
-0.000496027820797,0.00114645063727,0.00244573094714,1.4
-0.000495914007248,0.00113007303282,0.00244573264309,1.42
-0.000405345090483,0.00111437541183,0.00241430434098,1.44
-0.000405234484275,0.00109798778518,0.00241430596701,1.46
-0.000414661946972,0.00108160014754,0.00238138954758,1.48
-0.000409892908862,0.00108160014754,0.00239784831985,1.5
-0.000424097631048,0.00106521249909,0.00234847496908,1.52
-0.000423991939989,0.00104882483999,0.00234847648057,1.54
-0.000428765915213,0.00104882483999,0.00233201911845,1.56
-0.000333449408024,0.00103306716623,0.00231697362635,1.58
-0.000333449408024,0.00103306716623,0.00231697362635,1.6
-0.000342902829634,0.00101666948651,0.00228404269623,1.62
-0.000342902829634,0.00101666948651,0.00228404269623,1.64
-0.00034758241118,0.00100027179662,0.00226757861716,1.66
-0.000352364476573,0.00100027179662,0.0022511136145,1.68
-0.000352265278588,0.000983874096731,0.00225111497359,1.7
-0.000357048990321,0.000983874096731,0.00223465043929,1.72
-0.000361736789851,0.000967476387002,0.00221818770057,1.74
-0.000361736789851,0.000967476387002,0.00221818770057,1.76
-0.000271227051959,0.000951658664346,0.0021865922196,1.78
-0.000266438534833,0.000951658664346,0.00220306533634,1.8
-0.000276017216373,0.000951658664346,0.0021701195818,1.82
-0.000276017216373,0.000951658664346,0.0021701195818,1.84
-0.000285602486873,0.000951658664346,0.00213717574366,1.86
-0.000280714690642,0.000935250935597,0.00215364865899,1.88
