x,y,z,time
-0.107969130849,0.0294488643639,-0.0806755702507,0.0
-0.107969130849,0.0294488643639,-0.0806755702507,0.0
-0.107878929508,0.0295423576818,-0.0806150925185,0.02
-0.0740113688241,0.028936837569,-0.0567977489856,0.04
-0.0572167029916,0.0130276227983,-0.0466042217232,0.06
-0.0394393943589,0.0196964193784,-0.0252196160329,0.08
-0.0325535432297,0.0138163978346,-0.0176994809648,0.1
-0.0282146674633,0.0128084898481,-0.0112686445705,0.12
-0.0245942787112,0.0119023828387,-0.00530291715086,0.14
-0.0208324958926,0.0116197439053,-0.000129771071136,0.16
-0.0175562301812,0.0113942044336,0.00273410633489,0.18
-0.0150064402361,0.0106429963122,0.00434483345566,0.2
-0.0129758629663,0.0099545014466,0.00601406689859,0.22
-0.0115759802798,0.00917104289168,0.00658527681217,0.24
-0.0104485770588,0.00856646293995,0.00660347553512,0.26
-0.00953580153764,0.00801845334164,0.00658130803732,0.28
-0.00867007976915,0.00749419115833,0.00640190549603,0.3
-0.00791758534866,0.00711391631865,0.00619995895724,0.32
-0.00726918288618,0.00669377834296,0.00597608334736,0.34
-0.00661652246592,0.00634785432319,0.00578153964636,0.36
-0.00607363285629,0.00599472741996,0.00554974208851,0.38
-0.00562393629095,0.0056666746058,0.00534455638401,0.4
-0.00515937014095,0.00539971138495,0.00520186542176,0.42
-0.00480377586755,0.00511183253439,0.00502299453087,0.44
-0.00434140738485,0.00487320740416,0.00487830458363,0.46
-0.00406668544967,0.00465907384868,0.00477498815012,0.48
-0.00371057378062,0.0044468711617,0.00460964562822,0.5
-0.00343744716395,0.00426294524358,0.00450529628236,0.52
-0.00326452974051,0.0040757537148,0.004397807719,0.54
-0.00298281291222,0.00389049623568,0.0043251103465,0.56
-0.00280623612163,0.00371830729175,0.00423325584242,0.58
-0.00262565799838,0.00356178804799,0.00415739635603,0.6
-0.00244560867494,0.00342099973088,0.00408133239125,0.62
-0.0022660465844,0.00329600337811,0.00400506573569,0.64
