p,q,force,dev,ext_curr,pitch,yaw,ext
0.176732645836,-0.0250166226186,0.220915538316,0.000124872311611,71.0863469568,0.0393512174373,-0.000440711731429,-0.232888283171
0.176744175578,-0.0249455875153,0.347361047187,0.000196344701448,95.7836062933,0.0618784239721,-0.000651565505182,-0.367316733716
0.176725949273,-0.0250843435969,0.099808688677,5.64169344887e-05,47.5897330578,0.0177787968845,-0.000171692542848,-0.104995007384
0.176723602912,-0.0251078427342,0.0578810306252,3.27173222893e-05,39.478206916,0.0103102654987,-9.57521536871e-05,-0.060843554142
0.176723602912,-0.0251078427342,0.0578810306252,3.27173222893e-05,39.478206916,0.0103102654987,-9.57521536871e-05,-0.060843554142
0.17673459184,-0.0250426434834,0.174549030747,9.86635377421e-05,62.1083646373,0.031093582635,-0.000305894812113,-0.184020664469
0.176744080464,-0.0249876513903,0.2728231036,0.000154212133755,81.2751811826,0.0486019198288,-0.000483316913619,-0.288346630965
0.176738645324,-0.0250341227582,0.189976821239,0.000107383819095,65.1293159585,0.0338428976702,-0.000324987772947,-0.200463857608
0.176729913169,-0.0251040594087,0.0653083700176,3.69154730247e-05,40.9287594932,0.0116338852003,-0.000107489593347,-0.0687389862922
0.176738917393,-0.0250502270525,0.161654143291,9.13744073522e-05,59.6343039926,0.0287977433656,-0.000280796630838,-0.17055422536
0.176738917393,-0.0250502270525,0.161654143291,9.13744073522e-05,59.6343039926,0.0287977433656,-0.000280796630838,-0.17055422536
0.176742748519,-0.0250299778919,0.197770943882,0.000111789115999,66.6727757157,0.0352325023779,-0.000336350930164,-0.208864988309
0.176742976584,-0.0250358461403,0.1874157165,0.000105935827015,64.662668675,0.0333879473893,-0.000316808941949,-0.197923872486
0.176740842628,-0.0250588010126,0.14658154262,8.28545491969e-05,56.7204330238,0.0261133234266,-0.000244419811661,-0.154693876076
0.176740501369,-0.0250693918659,0.127842552854,7.22624002319e-05,53.082412321,0.0227750851613,-0.000212936146986,-0.134891942612
0.176744207195,-0.0250508573002,0.161122403387,9.10734985549e-05,59.5631462815,0.0287043525075,-0.000275500910031,-0.170166910285
0.176744207195,-0.0250508573002,0.161122403387,9.10734985549e-05,59.5631462815,0.0287043525075,-0.000275500910031,-0.170166910285
0.176744556075,-0.0250548836437,0.154081917198,8.7093860847e-05,58.1976670813,0.0274502068077,-0.00026484291298,-0.162734536894
0.176747487906,-0.0250402167799,0.180338359402,0.000101935009341,63.3184005315,0.032128364449,-0.0003105962406,-0.190606951966
0.176749593857,-0.0250331812327,0.193080101019,0.000109137047935,65.8110624351,0.0343987810193,-0.000337363727339,-0.204174638682
0.176749660226,-0.0250388783829,0.182894263322,0.000103379572276,63.8302336289,0.0325843392847,-0.000309656648335,-0.193392885793
0.176755518743,-0.0250015945775,0.249528954064,0.000141043951825,76.8514763331,0.0444569495335,-0.000432944134745,-0.264268178352
0.176755518743,-0.0250015945775,0.249528954064,0.000141043951825,76.8514763331,0.0444569495335,-0.000432944134745,-0.264268178352
0.176756968142,-0.0249970754404,0.257594666586,0.000145602924205,78.4375225529,0.0458944882574,-0.000437936509431,-0.272901109356
0.17675496838,-0.025020012308,0.216777502233,0.0001225314674,70.4652956578,0.0386222769355,-0.000360950605225,-0.229507869065
0.176755965922,-0.0250196393079,0.217524653628,0.000122953707489,70.6189743771,0.0387557405528,-0.00035914656802,-0.230344350224
0.176765618187,-0.0249550671544,0.332861687653,0.000188146078798,93.2274453594,0.0593070997717,-0.00057283895898,-0.353403418518
0.176771528416,-0.0249670765213,0.312225735957,0.000176481029725,89.2629799181,0.0556337189443,-0.00051544606399,-0.331824629582
0.176771528416,-0.0249670765213,0.312225735957,0.000176481029725,89.2629799181,0.0556337189443,-0.00051544606399,-0.331824629582
0.176787222216,-0.0249906665117,0.27235326697,0.000153941766288,81.6239264984,0.0485363748949,-0.000426153834342,-0.290244869623
0.1770250328,-0.0249625719606,0.353697628377,0.000199882415851,100.725529545,0.0631524599337,-0.00053145185041,-0.3942158757
0.177269628072,-0.0249269171755,0.453435253102,0.000256191186768,125.311812327,0.0811077886546,-0.0006673239827,-0.528040275157
0.177472683791,-0.0250113541299,0.338120794382,0.000190998930753,103.153716048,0.0605721128249,-0.000434848888289,-0.407432619497
0.177686429895,-0.0250448050893,0.317744058166,0.000179446793875,101.151026086,0.0570043706605,-0.000355391415527,-0.396531875215
0.177686429895,-0.0250448050893,0.317744058166,0.000179446793875,101.151026086,0.0570043706605,-0.000355391415527,-0.396531875215
0.177915357308,-0.0250168344595,0.412127459688,0.000232689203247,126.281216627,0.074040073131,-0.000463071157258,-0.533316792533
0.178133141846,-0.0250219154754,0.449538935614,0.000253742970588,138.767881785,0.0808620638928,-0.000507583599596,-0.601282352062
0.17831770327,-0.0251050566198,0.345141014025,0.000194765062889,115.442706386,0.0621483139002,-0.000344125088906,-0.474322224836
0.178516447063,-0.0251525442439,0.309460079102,0.000174579826887,108.682203621,0.05578008009,-0.000268152992365,-0.437524461194
0.178733673069,-0.0251227684202,0.417324213787,0.000235356275472,139.983467306,0.0752940685988,-0.000397685518282,-0.607898846465
0.178733673069,-0.0251227684202,0.417324213787,0.000235356275472,139.983467306,0.0752940685988,-0.000397685518282,-0.607898846465
0.178910861512,-0.0251875811111,0.351351470079,0.000198092229986,124.596138135,0.0634403498078,-0.000308488625007,-0.524144823791
0.179097801669,-0.0252297599442,0.330221271227,0.000186120232839,121.043090365,0.0596684557792,-0.000269473978722,-0.504805402362
