p,q,force,dev,ext_curr,pitch,yaw,ext
0.177278422689,-0.0251597232369,0.045843706484,2.59009196704e-05,38.1076164751,0.00820188147478,-9.18289219407e-05,-0.0533833600045
0.177284367055,-0.0251235079438,0.110543248982,6.24549212666e-05,51.9795354118,0.0197776316936,-0.000217788415665,-0.128888926972
0.177278804181,-0.0251709321871,0.0257502124714,1.45484258647e-05,33.80884512,0.00460705633718,-4.80262511004e-05,-0.0299849268168
0.177299029896,-0.0251746127016,0.0222950136486,1.25960535093e-05,33.0864686769,0.00398949520908,-3.95657576253e-05,-0.0260529947493
0.177298494805,-0.0251860923762,0.00196114696505,1.10799214986e-06,28.7209636596,0.000350931606032,-3.47094227899e-06,-0.00229132681164
0.177299957037,-0.0251825604771,0.00841644433875,4.75504603776e-06,30.1071079724,0.00150606789909,-1.48699556006e-05,-0.0098361814721
0.177299957037,-0.0251825604771,0.00841644433875,4.75504603776e-06,30.1071079724,0.00150606789909,-1.48699556006e-05,-0.0098361814721
0.177308359274,-0.0251826849887,0.00956912796026,5.40623445444e-06,30.3576194234,0.00171243721419,-1.69118197485e-05,-0.0111997281613
0.177311368045,-0.0251839872082,0.00776325613698,4.38596443412e-06,29.9701713791,0.00138930004061,-1.37122829292e-05,-0.00909082856433
0.177312038542,-0.0251869877928,0.00257793107282,1.45643831083e-06,28.8546652099,0.000461345787691,-4.54711050007e-06,-0.0030190712147
0.177322741005,-0.0251787822075,0.0188577956879,1.0653871331e-05,32.3652123599,0.00337502037741,-3.37019077886e-05,-0.0221271595863
0.177322907913,-0.0251849721765,0.0079385101201,4.48492553164e-06,30.0113032397,0.0014207817161,-1.40764433893e-05,-0.00931471139342
0.177323890416,-0.0251851764051,0.00772539855783,4.36452225925e-06,29.9656454748,0.00138265090358,-1.36551157873e-05,-0.00906619383478
0.177324933062,-0.0251847109417,0.00869098854918,4.91003503819e-06,30.1741782894,0.00155547920729,-1.52742937723e-05,-0.0102012486512
0.177325933663,-0.0251844485458,0.00934903837116,5.28179954984e-06,30.3164388547,0.00167326481574,-1.65409063506e-05,-0.0109755802116
0.177325933663,-0.0251844485458,0.00934903837116,5.28179954984e-06,30.3164388547,0.00167326481574,-1.65409063506e-05,-0.0109755802116
0.177326837192,-0.025185657167,0.00738488225212,4.17213258135e-06,29.8930400469,0.00132173486715,-1.31140065497e-05,-0.00867099876323
0.17733185415,-0.0251789659494,0.0199694196714,1.12817929021e-05,32.6116695626,0.00357420994357,-3.5189436578e-05,-0.0234686387936
0.17733185415,-0.0251789659494,0.0199694196714,1.12817929021e-05,32.6116695626,0.00357420994357,-3.5189436578e-05,-0.0234686387936
0.177332848804,-0.0251779055725,0.0219453367279,1.23980844615e-05,33.0391461959,0.00392789830246,-3.81892164245e-05,-0.0257954160558
0.151201199046,-0.0421640305857,0.159143782441,8.08243550513e-05,160.60322338,0.000384303322677,-4.89774091205e-05,0.720133237408
0.150967978594,-0.0423766836248,0.46601523798,0.000236511332717,417.235700113,0.000276395247612,0.000146155096108,2.11699698398
0.150967978594,-0.0423766836248,0.46601523798,0.000236511332717,417.235700113,0.000276395247612,0.000146155096108,2.11699698398
0.150880300087,-0.04260305914,0.496946359562,0.000252060424249,444.470694536,-0.000502568936766,0.000142673302779,2.26523845689
0.150814131495,-0.0428390157644,0.48645170933,0.000246594214753,437.049957544,-0.00128055915315,-0.000154514239959,2.22484700446
0.150748615938,-0.0430713485362,0.481398227021,0.00024389718612,434.093854222,-0.00203535364159,-0.000184022486386,2.20875678231
0.150683880704,-0.0432996809287,0.481517356677,0.000243828624405,435.421106801,-0.00279040000112,-0.000208078041412,2.21598108624
0.150619926935,-0.0435240364757,0.486585947821,0.000246271273446,440.883972171,-0.00356829283309,-0.000234412920676,2.24571574292
0.150619926935,-0.0435240364757,0.486585947821,0.000246271273446,440.883972171,-0.00356829283309,-0.000234412920676,2.24571574292
0.150556738114,-0.0437445400419,0.496356787842,0.000251096255353,450.308861227,-0.00438952758435,-0.000262800814308,2.29701589793
0.150493367554,-0.0439644807525,0.51087107721,0.000258319430811,463.778235467,-0.00528637234022,-0.000295898714801,2.37033039345
0.150430966675,-0.0441799521166,0.529684288176,0.000267715277697,480.92040759,-0.00626040740908,-0.000331839229386,2.46363611641
0.150369699583,-0.0443904749132,0.552450505792,0.000279106927546,501.459247842,-0.00732225526867,-0.000370331228202,2.57543007837
0.150309849424,-0.0445951737681,0.578734909797,0.000292273388577,525.034841386,-0.0084765760574,-0.000411801339474,2.70375324442
0.150309849424,-0.0445951737681,0.578734909797,0.000292273388577,525.034841386,-0.0084765760574,-0.000411801339474,2.70375324442
0.150251664552,-0.0447933022815,0.608062579297,0.000306973939174,551.24799249,-0.00972401636274,-0.000456701987836,2.84643277169
0.150193695383,-0.0449897785418,0.640965768463,0.000323473551589,580.591593931,-0.0111032547666,-0.000507895723881,3.00615150086
0.15013769715,-0.0451788041438,0.676157248244,0.000341124944008,611.934648269,-0.0125765791563,-0.000562593577811,3.1767533548
0.15008394588,-0.0453595791104,0.713036714294,0.000359625564851,644.756180809,-0.0141314710113,-0.000622087432557,3.35540264149
0.150032655104,-0.0455315161389,0.751012814776,0.000378677680424,678.540201615,-0.0157524030098,-0.000685638943895,3.53929080123
0.150032655104,-0.0455315161389,0.751012814776,0.000378677680424,678.540201615,-0.0157524030098,-0.000685638943895,3.53929080123
0.149984059362,-0.0456939563893,0.789466618147,0.000397970038801,712.743142624,-0.017419140827,-0.000754200302803,3.72545916516
