x,y,z,fx,fy,fz,time,dist
0.171683253164,0.00370739159995,-0.0438503404709,0.0,0.0,0.0,0.001,0
0.171683253164,0.00370739159995,-0.0438503404709,0.0,0.0,0.0,0.001,0
0.172154634128,0.00355560519797,-0.0440969967362,0.0,0.0,0.0,0.022,0
0.172116106982,0.00357599688812,-0.0442513378859,0.0,0.0,0.0,0.042,0
0.172114680254,0.00362185773592,-0.0442588226803,0.0,0.0,0.0,0.062,0
0.172115185086,0.00367022122768,-0.044258636327,0.0,0.0,0.0,0.081,0
0.172119277778,0.00371090663502,-0.0442435417899,0.0,0.0,0.0,0.102,0
0.172130297655,0.00375866430724,-0.0442004347307,0.0,0.0,0.0,0.121,0
0.172143195953,0.0038036819098,-0.0441499734005,0.0,0.0,0.0,0.142,0
0.172156167001,0.00384885485639,-0.0440991126569,0.0,0.0,0.0,0.161,0
0.172169125647,0.00389393172895,-0.0440481961101,0.0,0.0,0.0,0.182,0
0.172182069825,0.00393892107484,-0.0439972316294,0.0,0.0,0.0,0.202,0
0.172195001364,0.00398382501157,-0.0439462119817,0.0,0.0,0.0,0.222,0
0.172207920256,0.00402864323397,-0.0438951372912,0.0,0.0,0.0,0.242,0
0.172220826511,0.00407337566802,-0.0438440075928,0.0,0.0,0.0,0.262,0
0.172233720163,0.00411802229478,-0.0437928228192,0.0,0.0,0.0,0.281,0
0.172246601787,0.00416258222077,-0.0437415807615,0.0,0.0,0.0,0.301,0
0.172259470794,0.0042070560563,-0.043690283837,0.0,0.0,0.0,0.321,0
0.172272326752,0.00425144487178,-0.0436389338257,0.0,0.0,0.0,0.341,0
0.172285170874,0.0042957471462,-0.0435875259631,0.0,0.0,0.0,0.362,0
0.172298001945,0.00433996415599,-0.0435360651706,0.0,0.0,0.0,0.382,0
0.172310820692,0.00438409543991,-0.0434845485996,0.0,0.0,0.0,0.402,0
0.172323627083,0.00442814077233,-0.0434329764554,0.0,0.0,0.0,0.421,0
0.172336421688,0.00447209923111,-0.0433813465273,0.0,0.0,0.0,0.442,0
0.172349203359,0.00451597230775,-0.0433296634837,0.0,0.0,0.0,0.462,0
0.172361972837,0.00455975956951,-0.0432779243934,0.0,0.0,0.0,0.482,0
0.172374730089,0.00460346078356,-0.0432261294697,0.0,0.0,0.0,0.501,0
0.172387475688,0.00464707502286,-0.0431742764764,0.0,0.0,0.0,0.522,0
0.172400208473,0.0046906037823,-0.0431223701413,0.0,0.0,0.0,0.541,0
0.172412929748,0.00473404574768,-0.0430704052661,0.0,0.0,0.0,0.561,0
0.172425638825,0.00477740186414,-0.043018384637,0.0,0.0,0.0,0.582,0
0.172438335264,0.00482067209217,-0.0429663101986,0.0,0.0,0.0,0.601,0
0.172451020298,0.00486385548102,-0.0429141769555,0.0,0.0,0.0,0.622,0
0.172463692676,0.00490695327775,-0.0428619900503,0.0,0.0,0.0,0.641,0
0.172476353152,0.00494996448764,-0.0428097465329,0.0,0.0,0.0,0.662,0
0.172489001664,0.00499288998143,-0.04275744658,0.0,0.0,0.0,0.683,0
0.172501637653,0.00503572996544,-0.0427050925925,0.0,0.0,0.0,0.701,0
0.172514262994,0.00507848274867,-0.0426526769282,0.0,0.0,0.0,0.722,0
0.172526875711,0.00512114892107,-0.0426002078452,0.0,0.0,0.0,0.742,0
0.172539476652,0.00516372892801,-0.0425476818361,0.0,0.0,0.0,0.762,0
0.172552065787,0.00520622252578,-0.0424950990908,0.0,0.0,0.0,0.781,0
0.172564643698,0.00524862876673,-0.0424424572859,0.0,0.0,0.0,0.801,0
0.172577209759,0.00529094826177,-0.042389759039,0.0,0.0,0.0,0.822,0
0.172589763506,0.00533318211779,-0.0423370062759,0.0,0.0,0.0,0.842,0
0.172602305633,0.00537532968816,-0.0422841961893,0.0,0.0,0.0,0.862,0
0.172614836646,0.00541739035081,-0.0422313267019,0.0,0.0,0.0,0.882,0
0.172627355355,0.00545936448175,-0.0421784029016,0.0,0.0,0.0,0.902,0
0.172639862515,0.00550125223652,-0.0421254216259,0.0,0.0,0.0,0.921,0
0.172652358658,0.00554305244641,-0.0420723807546,0.0,0.0,0.0,0.941,0
0.172664843135,0.00558476569631,-0.0420192830146,0.0,0.0,0.0,0.962,0
0.172677315474,0.00562639310592,-0.0419661303702,0.0,0.0,0.0,0.981,0
0.172689776954,0.00566793312288,-0.0419129175749,0.0,0.0,0.0,1.002,0
0.172702226275,0.00570938700887,-0.0418596500717,0.0,0.0,0.0,1.022,0
0.172714664197,0.00575075432212,-0.041806324724,0.0,0.0,0.0,1.041,0
0.172727091259,0.00579203390009,-0.0417529393674,0.0,0.0,0.0,1.062,0
0.17273950622,0.00583322723363,-0.0416994991877,0.0,0.0,0.0,1.082,0
0.172751909855,0.00587433390447,-0.0416460009715,0.0,0.0,0.0,1.101,0
0.172764302706,0.00591535274099,-0.0415924425405,0.0,0.0,0.0,1.121,0
0.17277668411,0.00595628432577,-0.0415388266968,0.0,0.0,0.0,1.141,0
0.17278905417,0.00599712888008,-0.0414851530206,0.0,0.0,0.0,1.162,0
0.172801412331,0.00603788730224,-0.0414314238477,0.0,0.0,0.0,1.182,0
0.172813759293,0.00607855891618,-0.0413776362844,0.0,0.0,0.0,1.202,0
0.172826094997,0.00611914343433,-0.0413237906293,0.0,0.0,0.0,1.221,0
0.17283842003,0.00615964044741,-0.0412698843834,0.0,0.0,0.0,1.242,0
0.172850733174,0.0062000503461,-0.0412159228633,0.0,0.0,0.0,1.261,0
0.172863035789,0.00624037238356,-0.0411619002655,0.0,0.0,0.0,1.281,0
0.172875326552,0.00628060783,-0.0411078222135,0.0,0.0,0.0,1.301,0
0.172887606828,0.00632075532559,-0.0410536829587,0.0,0.0,0.0,1.321,0
