measured_eff_1,measured_eff_2,measured_eff_3,calculated_eff_1,calculated_eff_2,calculated_eff_3,time
-15.6283475455,9.99590369633,2.83239005043,0.329886181245,,,0.0262830147526
-15.6283475455,9.99590369633,2.83239005043,0.329886181245,,,0.0262830147526
-10.0563605631,6.82121624804,9.54257281415,1.23560020833,,,-0.0602975133507
-6.38018381939,-10.9491684626,26.3830255138,3.48734810199,,,-0.0507656783595
-5.89406482486,-51.9825974488,42.9660177907,5.70843795616,,,-0.0594638287724
-1.7240240256,-56.1457201723,49.2602878478,6.55595614864,,,-0.0608074350723
4.26762495014,-114.244637048,116.329040243,15.4965249206,,,-0.0516276016836
4.71484694192,-105.516064379,104.196458095,13.8845568762,,,-0.0609331550725
80.5100293997,-206.112444617,201.484641926,27.0541083318,,,-0.0460991602313
3.92858282078,-255.594191757,239.408339566,31.8917180634,,,-0.0527267198285
4.37370879147,-279.416992548,281.927794467,37.5447028904,,,-0.049676067193
-2.34365051087,-378.336871006,303.954350206,40.4958997964,,,-0.0411288078042
-3.32669898559,-287.640067974,304.916400345,40.5750247131,,,0.0764218937297
-14.9847883718,-348.032468038,279.736072244,37.2322360853,,,0.0428427453372
-14.9261666923,-220.31111927,242.385363312,32.2157096529,,,0.0615622486768
63.2111048954,-176.681689333,193.792754498,25.9606100481,,,0.0458963038704
-22.6190915398,-213.010514089,147.173530973,19.5668641687,,,0.0493591121365
-22.3518864116,-165.670611096,101.634658718,13.5054797047,,,0.0446517426802
71.040357141,-40.8293598743,60.5135929972,8.22116598095,,,0.0496050386089
-16.7310186318,-101.975691102,29.5422181473,3.92730855946,,,0.0420931353818
-18.7076848305,6.77631916501,6.16728369605,0.767598820962,,,0.0517714206471
-18.1819786621,12.0126596107,-0.916601417509,-0.173275393966,,,0.0291881611948
