x,y,z,fx,fy,fz,time
0.169081469688,0.00383114652245,-0.0450676603079,[ 0.],[ 0.],[ 0.],0.004
0.169081469688,0.00383114652245,-0.0450676603079,[ 0.],[ 0.],[ 0.],0.007
0.169104745705,0.00386538355686,-0.0450369383397,[ 0.],[ 0.],[ 0.],0.025
0.168838922756,0.00390156653059,-0.0463292395936,[ 0.],[ 0.],[ 0.],0.046
0.168743531277,0.00400765574853,-0.0470033931086,[ 0.],[ 0.],[ 0.],0.065
0.168760072075,0.00407062761324,-0.0469671609523,[ 0.],[ 0.],[ 0.],0.085
0.168768847427,0.00412906815879,-0.0469340910573,[ 0.],[ 0.],[ 0.],0.107
0.16877750634,0.0041873410383,-0.0469013573868,[ 0.],[ 0.],[ 0.],0.127
0.168786185547,0.0042456141074,-0.0468684537229,[ 0.],[ 0.],[ 0.],0.145
0.168794838114,0.00430388735906,-0.0468355488474,[ 0.],[ 0.],[ 0.],0.166
0.168803468401,0.00436199292594,-0.0468026426884,[ 0.],[ 0.],[ 0.],0.186
0.168812118933,0.00442009866239,-0.046769566528,[ 0.],[ 0.],[ 0.],0.204
0.168820696138,0.00447820456144,-0.0467366579947,[ 0.],[ 0.],[ 0.],0.226
0.168828298622,0.0045361157437,-0.0467035994251,[ 0.],[ 0.],[ 0.],0.244
0.168836827408,0.00459405374463,-0.0466706886692,[ 0.],[ 0.],[ 0.],0.265
0.168845381074,0.00465182403195,-0.0466376078314,[ 0.],[ 0.],[ 0.],0.285
0.168853950275,0.00470976231246,-0.0466043570872,[ 0.],[ 0.],[ 0.],0.307
0.168862451129,0.00476753286682,-0.0465712739565,[ 0.],[ 0.],[ 0.],0.326
0.168870930448,0.00482513569007,-0.0465381896005,[ 0.],[ 0.],[ 0.],0.345
0.168879425144,0.00488290648536,-0.0465049353537,[ 0.],[ 0.],[ 0.],0.366
0.168887898353,0.00494050953723,-0.0464716798863,[ 0.],[ 0.],[ 0.],0.386
0.168896350247,0.00499794484096,-0.0464384232046,[ 0.],[ 0.],[ 0.],0.405
0.168904770889,0.00505554809568,-0.0464051655356,[ 0.],[ 0.],[ 0.],0.425
0.168913170331,0.00511298359017,-0.0463719066738,[ 0.],[ 0.],[ 0.],0.446
0.168921548744,0.00517025131993,-0.0463386466253,[ 0.],[ 0.],[ 0.],0.465
0.16892894289,0.0052276558498,-0.0463052391038,[ 0.],[ 0.],[ 0.],0.485
0.168937315334,0.00528492339221,-0.0462718081944,[ 0.],[ 0.],[ 0.],0.506
0.168945661628,0.00534219100175,-0.0462383762306,[ 0.],[ 0.],[ 0.],0.525
0.16895398717,0.00539929082556,-0.046204943101,[ 0.],[ 0.],[ 0.],0.547
0.168962286676,0.00545639070487,-0.0461715089379,[ 0.],[ 0.],[ 0.],0.565
0.168970560147,0.00551349063306,-0.0461380737544,[ 0.],[ 0.],[ 0.],0.586
0.168978859255,0.00557042275994,-0.0461044684528,[ 0.],[ 0.],[ 0.],0.605
0.168987086302,0.00562735492429,-0.046071031122,[ 0.],[ 0.],[ 0.],0.625
0.168995333465,0.00568428711956,-0.0460374238089,[ 0.],[ 0.],[ 0.],0.647
0.169003554639,0.00574121933919,-0.0460038155052,[ 0.],[ 0.],[ 0.],0.664
0.169011801589,0.00579798373676,-0.0459700370705,[ 0.],[ 0.],[ 0.],0.685
0.169018983423,0.00585454544768,-0.045936451108,[ 0.],[ 0.],[ 0.],0.705
0.169027132691,0.00591130952838,-0.0459028399457,[ 0.],[ 0.],[ 0.],0.726
0.169035307918,0.00596790577339,-0.0458690586546,[ 0.],[ 0.],[ 0.],0.745
0.169043457315,0.00602450201422,-0.0458352764103,[ 0.],[ 0.],[ 0.],0.766
0.16905158696,0.00608093041054,-0.0458014930713,[ 0.],[ 0.],[ 0.],0.786
0.169059684753,0.00613752662472,-0.0457677089566,[ 0.],[ 0.],[ 0.],0.805
0.169067814833,0.00619378715194,-0.0457337545398,[ 0.],[ 0.],[ 0.],0.824
0.169075867292,0.00625021548427,-0.0456999684324,[ 0.],[ 0.],[ 0.],0.846
0.169083946005,0.00630647595295,-0.0456660121813,[ 0.],[ 0.],[ 0.],0.866
0.169091999044,0.00636273638342,-0.0456320550268,[ 0.],[ 0.],[ 0.],0.885
0.169100032827,0.00641882894205,-0.0455980968108,[ 0.],[ 0.],[ 0.],0.905
0.16910703568,0.00647505072484,-0.0455641646656,[ 0.],[ 0.],[ 0.],0.925
0.169115024833,0.00653097502123,-0.0455302047221,[ 0.],[ 0.],[ 0.],0.945
0.169123027449,0.00658706708168,-0.0454960749709,[ 0.],[ 0.],[ 0.],0.965
0.169131011077,0.00664299125322,-0.0454619441762,[ 0.],[ 0.],[ 0.],0.985
0.16913892376,0.0066989153536,-0.045427981666,[ 0.],[ 0.],[ 0.],1.005
