x,y,z,x_dot,y_dot,z_dot,th1,th2,d3,th1_dot,th2_dot,d3_dot,measured_th1,measured_th2,measured_d3,measured_th1_dot,measured_th2_dot,measured_d3_dot,eff_1,eff_2,eff_3,time
0.16,0.0,-0.08,0.0,0.0,0.0,-0.179899634083,-0.0,0.03559233126,0.0,0.0,0.0,-0.18035885019,-0.00151268423195,0.0356583013768,-0.0805754987765,0.0382596414377,5.01823670316e-06,-0.265163525101,0.0382596414377,0.0554139917123,11.051
0.16,0.0,-0.079991758216,0.0,0.0,0.000239800124931,-0.17985241583,-0.0,0.0355884920521,-0.00137386738238,0.0,-0.000111699773197,-0.18035885019,-0.00151268423195,0.0356583013768,-0.0805754987765,0.0382596414377,5.01823670316e-06,-0.265163525101,0.0382596414377,0.0554139917123,11.051
0.16,0.0,-0.079936096348,0.0,0.0,0.000919650131895,-0.179533483497,-0.0,0.0355625716155,-0.00526997752143,0.0,-0.000428142926795,-0.179955772885,-0.00150672168026,0.035634386707,0.0153512674049,0.0444312342129,-0.000405331573052,-0.282029321014,0.0444312342129,0.0551590537663,11.251
0.16,0.0,-0.0797910638181,0.0,0.0,0.00198209790763,-0.17870216083,-0.0,0.0354950997472,-0.0113644203832,0.0,-0.000921453134437,-0.178297124566,-0.00129285309111,0.0354502159515,-0.0310448451439,0.134154875101,-0.00137405151939,-0.280824180983,0.134154875101,0.051333005055,11.451
0.16,0.0,-0.0795204450638,0.0,0.0,0.00337218925684,-0.177149774319,-0.0,0.0353694597483,-0.0193541184284,0.0,-0.00156351720154,0.0350124001862,-0.171788685085,-0.00122948234964,-0.00439798215322,0.109697679882,0.00527693589307,-0.26475236051,0.109697679882,0.0491001227327,11.651
0.16,0.0,-0.079093504649,0.0,0.0,0.00503746790219,-0.174697472077,-0.0,0.0351719262563,-0.0289576654117,0.0,-0.00232576330001,-0.160850072605,-0.00121614204734,0.0342015631455,-0.0230405614431,0.111020199281,-0.00333513282429,-0.209233660689,0.111020199281,0.0479566668775,11.851
0.16,0.0,-0.0784847323738,0.0,0.0,0.00692797548432,-0.17119402745,-0.0,0.034891712895,-0.0399148357413,0.0,-0.00317917825049,-0.144220837587,-0.00114558370155,0.0330265118746,-0.0206503795763,0.13420302481,-0.00835822870524,-0.238015130929,0.13420302481,0.0473234474295,12.051
0.16,0.0,-0.0776735883858,0.0,0.0,0.00899625156185,-0.166513748388,-0.0,0.0345210088237,-0.0519850478234,0.0,-0.00409449789174,-0.121812882338,-0.0010918295374,0.0314936809255,-0.0232473258424,0.132011250653,-0.00435512959628,-0.0980325165395,0.132011250653,0.0465491480668,12.251
0.16,0.0,-0.0766442482895,0.0,0.0,0.0111973336113,-0.1605545855,-0.0,0.0340549893383,-0.0649450506062,0.0,-0.00504251753136,-0.0939330422799,-0.00107710097707,0.0296399591916,-0.0425356666526,0.124304147028,-0.0076184114162,-0.106691744241,0.124304147028,0.0468488548933,12.451
0.16,0.0,-0.0753853482575,0.0,0.0,0.0134887570273,-0.153236504851,-0.0,0.0334917904519,-0.0785860893943,0.0,-0.00599448159663,-0.060301230102,-0.00104307647727,0.0275875810939,0.181257664609,0.128317346853,-0.00864214365266,-0.0719766922289,0.128317346853,0.04675705831,12.651
0.16,0.0,-0.0738897301406,0.0,0.0,0.0158305551224,-0.144500166161,-0.0,0.0328324410081,-0.0927107938678,0.0,-0.0069225220337,-0.0223146122648,-0.00102250081746,0.0254325385299,0.30778116929,0.135859738829,-0.00950617387955,-0.0923948139039,0.135859738829,0.0462552757327,12.851
0.16,0.0,-0.072154186578,0.0,0.0,0.0181852591269,-0.134305922862,-0.0,0.0320807485441,-0.107130018667,0.0,-0.00780012329851,0.0193676510289,-0.000987349288367,0.0232883511788,0.441391873827,0.141545022234,-0.00501740684958,-0.0135736569727,0.141545022234,0.0454738353852,13.051
0.16,0.0,-0.0701792061081,0.0,0.0,0.0205178981894,-0.122633137632,-0.0,0.0312431370538,-0.121659855553,0.0,-0.00860259779618,0.0213335908383,0.0600376537696,-0.000976528150802,0.00186329098682,0.145196458671,0.00420274194362,0.031964288696,0.145196458671,0.0445025984144,13.251
0.16,0.0,-0.0679687182787,0.0,0.0,0.0227959993762,-0.109479785118,-0.0,0.0303284362408,-0.136119025778,0.0,-0.0093075594057,0.109513082657,-0.000900554909453,0.0194875684503,0.656449207004,0.141460871982,0.00406195112649,0.144044003951,0.141460871982,0.043437707738,13.451
0.16,0.0,-0.0655298387577,0.0,0.0,0.0249895876718,-0.0948622929052,-0.0,0.0293476230043,-0.150326850311,0.0,-0.00989538444643,0.155680761959,-0.000843889075226,0.018015147475,0.691971087182,0.137943084527,0.0054521351435,0.195286928053,0.137943084527,0.0422375659499,13.651
0.16,0.0,-0.0628726144428,0.0,0.0,0.0270711859785,-0.0788155522672,-0.0,0.0283135169793,-0.164101980661,0.0,-0.0103496493708,0.201030186175,-0.000770963938701,0.0169127462569,0.702967782127,0.1383210724,0.00716619679222,0.245005467749,0.1383210724,0.0402829704746,13.851
0.16,0.0,-0.0600097685727,0.0,0.0,0.0290158151166,-0.0613930126938,-0.0,0.0272404331129,-0.177262050016,0.0,-0.010657532955,0.244389578304,-0.000628623033154,0.0161923023302,0.68634930491,0.133065345709,0.00658019177604,0.224017318221,0.133065345709,0.0364566569519,14.051
0.16,0.0,-0.0569564458371,0.0,0.0,0.0308009938244,-0.0426667596198,-0.0,0.0261437956248,-0.189624368149,0.0,-0.0108101682595,0.284753315552,0.000369169387858,0.0158271326487,0.59314016725,0.115046410579,0.00554900185772,0.213186387782,0.115046410579,0.0119997926155,14.251
0.16,0.0,-0.0537299574874,0.0,0.0,0.0324067387582,-0.0227274647454,-0.0,0.0250397193557,-0.201007729741,0.0,-0.0108029267128,0.321461565523,0.00282472857852,0.0157350278181,0.45107723432,0.110772603841,0.00694795249669,0.338447842318,0.110772603841,-0.0470480500278,14.451
0.16,0.0,-0.0503495264465,0.0,0.0,0.0338155644922,-0.00168409483636,-0.0,0.0239445664434,-0.211235331987,0.0,-0.0106356140166,0.353580114868,0.00316693842239,0.0158424161998,0.368534168571,0.100686421219,0.0060342759385,0.393658256203,0.100686421219,-0.0592574855937,14.651
0.16,0.0,-0.04683603242,0.0,0.0,0.0350124835185,0.0203367301035,-0.0,0.0228744884369,-0.220138704563,0.0,-0.0103125559771,0.380571805541,0.00319570298578,0.0160819821371,0.236815307612,0.0411122451947,0.00377320954584,0.426220299793,0.0411122451947,-0.0606827340711,14.851
0.16,0.0,-0.043211757006,0.0,0.0,0.0359850062474,0.0431918231741,-0.0,0.0218449661947,-0.227562449214,0.0,-0.00984255263824,0.402767189495,0.00321356845892,0.0163584077453,-0.00966010941261,-0.0200684886337,0.00260446425923,0.502555497187,-0.0200684886337,-0.0621340939848,15.051
0.16,0.0,-0.039500128806,0.0,0.0,0.0367231410069,0.0667230290944,-0.0,0.020870362001,-0.233369478532,0.0,-0.00923868196626,0.419827001802,0.00324087089811,0.0166122183063,0.0329098779784,-0.0329674710137,0.00184880210939,0.555634812804,-0.0329674710137,-0.0632165529031,15.251
0.16,0.0,-0.0357254685348,0.0,0.0,0.0372193940433,0.0907593659042,-0.0,0.0199634999673,-0.237446349947,0.0,-0.00851794028356,0.430875257812,0.00322358740982,0.0168151795872,0.0171385206586,-0.0432663693966,0.00131561154138,0.551139624632,-0.0432663693966,-0.0647214963871,15.451
