encoder_position
200.0
565.0
940.0
1309.0
1678.0
2047.0
2416.0
2786.0
3156.0
3525.0
3895.0
4263.0
4632.0
5001.0
5370.0
5739.0
6108.0
6477.0
6845.0
7215.0
7583.0
7952.0
8321.0
8690.0
9059.0
9428.0
9797.0
10166.0
10535.0
10904.0
11273.0
11642.0
12011.0
12380.0
12749.0
13118.0
13487.0
13856.0
14225.0
14594.0
14963.0
15332.0
15701.0
16069.0
16439.0
16807.0
17177.0
17545.0
17914.0
18283.0
18652.0
19021.0
19390.0
19759.0
20128.0
20498.0
20866.0
21236.0
21604.0
21974.0
22342.0
22712.0
23080.0
23450.0
23818.0
24187.0
24557.0
24925.0
25295.0
25663.0
