x,y,z
0.0500331935972,-0.000266557561809,0.135807991541
0.0500583804326,-0.00761816233356,0.1354028413
0.050003291768,-0.01494770454,0.134667295575
0.0500370255196,-0.0221773692864,0.133604755371
0.0500728710954,-0.029505351582,0.132821893742
0.0500793881002,-0.0366413093963,0.13093804931
0.0500442828493,-0.043649902543,0.128637116518
0.05003848059,-0.0504973006203,0.125949362405
0.0500104834458,-0.0571675598524,0.122905873216
0.050085538053,-0.0636855562414,0.119542033211
0.0500473081801,-0.0703730522592,0.116483479947
0.0500805988138,-0.0765335673029,0.112415270864
0.050051308233,-0.0824518860109,0.108003115054
0.0500682588281,-0.0880897119142,0.103291672045
0.0500574266614,-0.0934416408103,0.0982903469254
0.0500714689237,-0.0985836723516,0.0930619440722
0.0500934377204,-0.103988260887,0.0876372038812
0.0500820786484,-0.108370339091,0.0820724604697
0.0500556869447,-0.112595006969,0.0760639707817
0.050078766349,-0.116469325663,0.0698039108185
0.050079387059,-0.119989664771,0.063365069155
0.0500824596437,-0.123204590997,0.0567684896602
0.050076095244,-0.126594337494,0.0502735407513
0.0500721739641,-0.129079376269,0.0433204976948
0.0500813209186,-0.131144057829,0.0363611916092
0.0500684431132,-0.131123966658,0.0363877506479
0.0500512636596,-0.000263089149313,0.135763342619
0.0500682443698,0.00711540084214,0.135633824073
0.0500786935738,0.0144615817765,0.135056429267
0.0500875463901,0.0217091876957,0.133973726686
0.0500442361346,0.0289466455605,0.132626025973
0.0500346182947,0.036094828599,0.130914971678
0.0500687091645,0.0431632923619,0.128785389851
0.050037484343,0.0500783762867,0.126290102819
0.0500553603278,0.0568592430824,0.12340499181
0.0500782389185,0.0633887715328,0.120020599863
0.0500780584537,0.0698291335897,0.116447513518
0.0500682207523,0.0760713467531,0.112536173895
0.0500848229076,0.0816555950031,0.108802325747
0.052032770257,0.0852325775744,0.105933004089
0.0500518958741,-0.000273250571765,0.142179634103
0.0500427842111,-0.00794547960783,0.141687522779
0.050054435609,-0.0156813356631,0.141499720977
0.050035255975,-0.0233396107039,0.140415214303
0.0500427137395,-0.0308719833192,0.138785954162
0.0500738907699,-0.0382935935244,0.136754907507
0.0500758782297,-0.0455954846213,0.134377670774
0.050008156005,-0.0527941612248,0.131674861665
0.0500507245697,-0.0600970359958,0.129158258193
0.0500781564067,-0.0669638084693,0.125643897115
0.0500793096723,-0.0735956855325,0.121682270947
0.0500812121385,-0.0799732318383,0.117377740092
0.0500566852507,-0.0861301612232,0.112814907341
0.0500825181175,-0.092079775902,0.107948985256
0.0500547409221,-0.0981697983342,0.103242103535
0.0500791523253,-0.103595183141,0.0977350961337
